Date,cci_30,relative_strength_index_14,sma_12,sma_26,stochastic_oscillator
2005-09-30,,,,,
2005-10-03,,,,,
2005-10-04,,,,,
2005-10-05,,,,,
2005-10-06,,,,,
2005-10-07,,,,,
2005-10-10,,,,,
2005-10-11,,,,,
2005-10-12,,,,,
2005-10-13,,,,,
2005-10-14,,,,,
2005-10-17,,,154.2746899,,
2005-10-18,,,153.7249743,,
2005-10-19,,41.43866264,153.3087247,,58.88887119
2005-10-20,,36.64886618,152.9833997,,40.91505048
2005-10-21,,65.39354332,154.20086669999998,,88.28700307
2005-10-24,,69.00454615,155.69819760000001,,98.89113729
2005-10-25,,67.49629686,157.1129455,,95.92289056
2005-10-26,,70.85899594,158.98106380000002,,99.14270127
2005-10-27,,68.72266809,160.9396896,,93.9316483
2005-10-28,,70.76094993,163.3254089,,98.8575048
2005-10-31,,75.46780851,166.4410248,,96.89544699999999
2005-11-01,,77.4902074,169.9128303,,95.15127394
2005-11-02,,77.57270898,173.027612,,94.24616838
2005-11-03,,79.28187469,176.47564309999998,,99.31534961
2005-11-04,,80.42951408,179.8844693,166.007931,98.49856873
2005-11-07,,81.55904873,183.71454880000002,167.5204051,97.46519877
2005-11-08,,76.27204934,185.7999675,168.8913915,92.13588534
2005-11-09,,66.53822292,187.07207380000003,170.2032805,71.58370791
2005-11-10,102.06884079999999,70.97293595,188.9151663,171.7507894,88.47685112
2005-11-11,105.0727459,70.38450071,190.37329119999998,173.2455538,87.05368637
2005-11-14,104.3108328,72.67450229,192.20470569999998,174.86217030000003,97.5975389
2005-11-15,93.83942059999998,69.02624190000002,193.649067,176.4435595,88.35412208
2005-11-16,94.18150702,71.03522721,194.7339021,178.215524,98.40295837
2005-11-17,98.26384098,72.90979809999999,195.73782230000003,180.1882659,99.18738198
2005-11-18,90.87152034,69.93023319,196.5940947,182.16659019999997,87.91203415
2005-11-21,90.66943172,73.25437644,197.5704882,184.34607759999997,98.11038231
2005-11-22,102.7315411,75.5190742,198.65657439999998,186.49187769999997,97.89373336
2005-11-23,113.2110268,77.37342321,199.8173193,188.79379509999998,96.06685141
2005-11-25,122.46484040000001,78.92321473,201.4322676,191.1022574,99.74669547
2005-11-28,115.9175356,74.04904888,203.28119919999997,193.4176495,85.57889889
2005-11-29,79.94192244,58.86188482,203.8000514,194.6427208,48.522588299999995
2005-11-30,58.45953992,59.47683451,204.4052392,195.7257269,51.0685773
2005-12-01,83.402757,63.42248123,205.1192869,197.01894330000002,59.54239627
2005-12-02,96.28869035,64.87100555,206.15782430000002,198.217449,66.3936281
2005-12-05,66.46531418,56.90468184,206.47897859999998,199.2336573,36.98189169
2005-12-06,56.81023689,56.08472756,206.5244408,200.12628069999997,29.27154073
2005-12-07,35.43796985,55.87294232,206.69169240000002,200.7438215,28.4238805
2005-12-08,51.68212833,59.20643428,206.7454962,201.34576950000002,45.45698395
2005-12-09,62.67766398,58.13981732,206.4422761,201.9140303,41.61593819
2005-12-12,66.50487027,59.96637828,206.01476430000002,202.42723569999998,47.78583916
2005-12-13,80.90791342,62.48896161,205.5505499,202.9481408,61.46298471
2005-12-14,90.32793721,63.24037829,205.36202880000002,203.4087942,65.58301059
2005-12-15,101.02926479999999,65.08007613,206.15490480000003,204.0373072,75.64460311
2005-12-16,141.5101501,68.65635724,207.20762380000002,205.0190577,93.63831929999999
2005-12-19,143.7619282,63.53882312,207.6459783,205.6639334,57.33465282
2005-12-20,125.0546373,66.06186022,208.14814760000002,206.42122890000002,65.10592729
2005-12-21,112.2079591,62.94968653,209.00233459999998,206.9864092,57.88132898
2005-12-22,120.8736794,65.85077077,210.1493149,207.74177969999997,69.97882331
2005-12-23,116.66395700000001,64.78873214,211.26334509999998,208.37279519999998,67.62711679
2005-12-27,81.64934187,58.98349171,211.84684500000003,208.78070309999998,54.30084334
2005-12-28,68.74888827,60.23410113,212.5763244,209.290444,55.19857835
2005-12-29,46.37208129,54.52263189,212.89080550000003,209.49815130000002,30.78351171
