Date,stochastic_oscillator,relative_strength_index_14,sma_12,sma_26,cci_30
2006-03-13,30.616072927386533,42.25001546042819,6.460953916666665,6.535452192307693,-92.28345500771445
2006-03-14,46.161114107951164,46.859169601089604,6.427834166666666,6.5187261538461545,-59.99295216151397
2006-03-15,36.20691042410353,44.3268790177412,6.389754000000001,6.514775384615385,-55.72994149238731
2006-03-16,18.69345475113752,40.20544430428642,6.356314083333334,6.502627692307692,-91.31823114354961
2006-03-17,22.21104410494233,41.2773116854917,6.320794083333333,6.487304615384615,-101.26496432110208
2006-03-20,20.424419435877425,39.806278629835,6.275834083333333,6.483759999999999,-103.74304934910656
2006-03-21,4.883722633856771,35.387273515069,6.228554083333333,6.463452346153845,-150.75717623468134
2006-03-22,4.629640132027745,35.117651952450814,6.198074250000001,6.452227692307692,-150.41157099803291
2006-03-23,6.524286194713056,32.262422083556245,6.148874166666666,6.424609192307691,-175.61038758471574
2006-03-24,10.321782678212674,31.892560073173,6.103274083333333,6.3904183846153835,-174.5205929518519
2006-03-27,5.327384235771991,31.030613757471173,6.067914083333332,6.349581499999999,-154.95062394587742
2006-03-28,4.698721267121091,29.503898122188616,6.032074083333334,6.306824615384614,-163.64962973290827
2006-03-29,44.937286903388504,43.137044005569905,6.005274083333334,6.2819016923076925,-117.24250397235863
2006-03-30,48.987497882112415,44.47862031946153,5.968713999999999,6.250258653846155,-73.01799818037722
2006-03-31,48.6981826331198,44.398016256503716,5.940634083333332,6.216917115384614,-60.77788786719575
2006-04-03,48.02315872039759,44.196825787166205,5.927354083333333,6.184387923076924,-50.417788085630704
2006-04-04,37.919810218933826,40.06311604564238,5.899433999999999,6.148129384615387,-81.23274307519384
2006-04-05,100.0,57.523540813959684,5.925194,6.14340326923077,21.985288619290642
2006-04-06,94.36719132584255,64.87579217803764,6.000634083333334,6.151304846153847,124.88759503232458
2006-04-07,84.28373653911866,60.798151687916175,6.065594166666666,6.151969500000001,115.82048349749095
2006-04-10,76.49514235116236,57.77732062010655,6.133674166666666,6.155477153846154,110.32702080428903
2006-04-11,71.76634606865842,55.95944708725453,6.197914333333333,6.164744961538462,81.66895755090688
2006-04-12,62.86510252223879,52.604191088189516,6.255514333333334,6.1662219230769235,58.582793947885605
2006-04-13,61.196104145187114,51.97487425716303,6.31759425,6.169212653846154,49.365949550989754
2006-04-17,49.6523366269351,47.72266349990339,6.337434166666667,6.172461846153847,21.570037433504876
2006-04-18,59.45759256500798,51.362546218722635,6.365194,6.1836495000000005,32.37928360781504
2006-04-19,41.818206115711334,49.851465831031895,6.388634000000001,6.1835386923076925,40.81965317681381
2006-04-20,59.81813993386898,54.823501759241935,6.428473916666668,6.184683192307692,88.94865381072785
2006-04-21,54.45454707438071,53.13300560107126,6.475433916666668,6.187673961538461,69.66374697444326
2006-04-24,42.727315537205676,49.53644316239155,6.463753999999999,6.192990923076923,32.93968437132904
2006-04-25,25.569591988452565,50.70635901157399,6.4231939166666665,6.198566307692308,32.40661392708213
2006-04-26,49.350636363636276,55.89735264480385,6.41007375,6.213926269230769,68.44256289517914
2006-04-27,73.03204081632651,58.75581952138444,6.415593833333332,6.241803192307694,96.44483862194335
2006-04-28,86.9064861238968,61.06891429153631,6.434793666666667,6.274000076923078,122.96297604537254
2006-05-01,73.01807051209029,58.36521698643902,6.457913583333333,6.308855500000001,110.95422389899834
2006-05-02,95.281743119266,62.88947547949681,6.499113583333333,6.351907807692308,124.29015062135925
2006-05-03,88.99082568807346,61.18796775615719,6.549753499999999,6.39484926923077,115.22563381168997
2006-05-04,79.39106557377038,61.15088691881407,6.5890335833333324,6.4407077307692315,118.55325228588747
2006-05-05,87.65433485748945,62.98856860175735,6.638953583333333,6.4760061538461535,115.81421477888493
2006-05-08,77.07082106791674,62.98856860175734,6.673033666666666,6.509753807692308,126.13760764287979
2006-05-09,66.62646588767113,59.30682661198943,6.704953666666666,6.540436846153846,96.88111819273487
2006-05-10,61.44579430976235,57.49724750766108,6.743753583333333,6.569790692307692,70.76259729157093
2006-05-11,31.927739802566347,48.42988456718054,6.759593500000001,6.595562999999999,26.803625071125722
2006-05-12,25.970931314207284,46.96495411542713,6.755993666666668,6.597372269230768,-10.543286235008926
2006-05-15,18.783835299481723,47.30822024877437,6.743433666666667,6.584633769230768,-16.274176594445404
2006-05-16,2.54142569518515,38.8519381877385,6.700153750000001,6.56687373076923,-73.86901016755836
2006-05-17,12.230215827338121,40.00276632554684,6.665433750000001,6.554282999999999,-121.24349785803442
2006-05-18,0.5617697681217874,34.76799819890775,6.597913833333334,6.53652296153846,-138.40010341619666
2006-05-19,15.391588904805745,40.16025022538064,6.544873916666667,6.528399846153845,-137.44539551295824
2006-05-22,5.530381782480782,37.33635320595117,6.482874,6.51699069230769,-145.94759166890015
2006-05-23,3.445104885785116,36.76961870660582,6.412954083333333,6.510861499999999,-121.33671806651125
2006-05-24,14.542503564339118,37.612096752747455,6.344554166666668,6.500227730769229,-139.77070590949268
2006-05-25,22.63070816112125,41.95197343653002,6.290954166666666,6.495353846153844,-98.21019332239759
2006-05-26,18.09087021486192,39.613829421930966,6.234554166666666,6.480289269230768,-97.66118426230288
2006-05-30,0.0,33.59110475335652,6.179114333333334,6.458800115384615,-135.438978224052
2006-05-31,8.88884919981066,30.48490270375882,6.115674333333334,6.436720115384616,-165.61784022121935
2006-06-01,34.80002044000605,40.321623361776375,6.070714416666668,6.421950923076922,-128.05881594254626
2006-06-02,30.650169112452197,39.05685190394452,6.0441545,6.397987923076922,-103.58666692253148
2006-06-05,13.702868975495575,35.187904925013186,6.0020745,6.363427923076922,-123.37618107385454
